车辆品牌,MOB,prepay_accum_rate
广汽吉奥,6,0.0
广汽吉奥,7,0.0
广汽吉奥,8,0.0
广汽吉奥,9,0.0
广汽吉奥,10,0.0
广汽吉奥,11,0.0
广汽吉奥,12,0.0
广汽吉奥,13,0.0
开瑞,1,0.0
开瑞,2,0.0
开瑞,3,0.0
开瑞,4,0.0
思铭,1,0.0
思铭,2,0.0
思铭,3,0.0
思铭,4,0.0
思铭,5,0.0
思铭,6,0.0
思铭,7,0.0
思铭,8,0.0
思铭,9,0.0
思铭,10,0.0
思铭,11,0.0
思铭,12,0.0
捷豹,1,0.0
捷豹,2,0.0
捷豹,3,0.0
捷豹,4,0.0
捷豹,5,0.0
捷豹,6,0.0
捷豹,7,0.0
捷豹,8,0.0487504876549
捷豹,9,0.0487504876549
捷豹,10,0.0487504876549
捷豹,11,0.0487504876549
捷豹,12,0.0487504876549
捷豹,13,0.0487504876549
斯巴鲁,1,0.0
斯巴鲁,2,0.0
斯巴鲁,3,0.0
斯巴鲁,4,0.0
斯巴鲁,5,0.0
斯巴鲁,6,0.0
斯巴鲁,7,0.0
斯巴鲁,8,0.0405939164923
斯巴鲁,9,0.0405939164923
斯巴鲁,10,0.0405939164923
斯巴鲁,11,0.0405939164923
斯巴鲁,12,0.0405939164923
斯巴鲁,13,0.0405939164923
斯巴鲁,14,0.0405939164923
斯巴鲁,15,0.0405939164923
斯巴鲁,16,0.0405939164923
斯柯达,1,0.0254596441366
斯柯达,2,0.0360069698067
斯柯达,3,0.0360069698067
斯柯达,4,0.0360069698067
斯柯达,5,0.0564301580049
斯柯达,6,0.0564301580049
斯柯达,7,0.0564301580049
斯柯达,8,0.0564301580049
斯柯达,9,0.0599032432224
斯柯达,10,0.0693507585737
斯柯达,11,0.0693507585737
斯柯达,12,0.0693507585737
斯柯达,13,0.0693507585737
斯柯达,14,0.0693507585737
斯柯达,15,0.0693507585737
斯柯达,16,0.0693507585737
斯柯达,17,0.0693507585737
日产,1,0.00292491506873
日产,2,0.0085086507284
日产,3,0.0123448009848
日产,4,0.0195621903857
日产,5,0.0195621903857
日产,6,0.0271032654451
日产,7,0.0448160991047
日产,8,0.0448160991047
日产,9,0.0624158745899
日产,10,0.0624158745899
日产,11,0.0624158745899
日产,12,0.0643074653403
日产,13,0.0643074653403
日产,14,0.0643074653403
日产,15,0.0643074653403
日产,16,0.0643074653403
日产,17,0.0643074653403
日产,18,0.065433358278
日产,19,0.065433358278
日产,20,0.065433358278
日产,21,0.065433358278
日产,22,0.065433358278
日产,23,0.065433358278
昌河,1,0.0
昌河,2,0.0
昌河,3,0.0
昌河,4,0.0
昌河,5,0.0
本田,1,0.00660035887701
本田,2,0.0230791313226
本田,3,0.0230791313226
本田,4,0.0257545974247
本田,5,0.0304024236439
本田,6,0.0351573720955
本田,7,0.0375791815994
本田,8,0.0404961110866
本田,9,0.041533181624
本田,10,0.0428405800112
本田,11,0.0448214376108
本田,12,0.0457888557674
本田,13,0.0463324788418
本田,14,0.0463324788418
本田,15,0.0463324788418
本田,16,0.0463324788418
本田,17,0.0463324788418
本田,18,0.0463324788418
本田,19,0.0463324788418
本田,20,0.0466816579344
本田,21,0.0466816579344
本田,22,0.0466816579344
本田,23,0.0466816579344
林肯,1,0.0
林肯,2,0.0
林肯,3,0.0
林肯,4,0.0
林肯,5,0.0
林肯,6,0.0
林肯,7,0.0
林肯,8,0.0
林肯,9,0.0
林肯,10,0.0
林肯,11,0.0
标致,1,0.0253915170121
标致,2,0.0426222105936
标致,3,0.0426222105936
标致,4,0.0426222105936
标致,5,0.0426222105936
标致,6,0.0426222105936
标致,7,0.0426222105936
标致,8,0.0426222105936
标致,9,0.0426222105936
标致,10,0.0589198484657
标致,11,0.0589198484657
标致,12,0.0589198484657
标致,13,0.0589198484657
标致,14,0.0589198484657
标致,15,0.0589198484657
标致,16,0.0589198484657
标致,17,0.0589198484657
标致,18,0.0589198484657
标致,19,0.0589198484657
标致,20,0.0589198484657
标致,21,0.0589198484657
标致,22,0.0589198484657
欧宝,1,0.0
欧宝,2,0.0
欧宝,3,0.0
欧宝,4,0.0
欧宝,5,0.0
欧宝,6,0.0
欧宝,7,0.0
欧宝,8,0.0
欧宝,9,0.0
欧宝,10,0.0
比亚迪,1,0.0
比亚迪,2,0.0
比亚迪,3,0.00664742837811
比亚迪,4,0.00664742837811
比亚迪,5,0.00664742837811
比亚迪,6,0.00664742837811
比亚迪,7,0.00664742837811
比亚迪,8,0.00664742837811
比亚迪,9,0.00664742837811
比亚迪,10,0.00664742837811
比亚迪,11,0.00664742837811
比亚迪,12,0.00664742837811
比亚迪,13,0.00664742837811
比亚迪,14,0.00664742837811
比亚迪,15,0.0157034742676
比亚迪,16,0.0157034742676
比亚迪,17,0.0157034742676
比亚迪,18,0.0157034742676
比亚迪,19,0.0157034742676
比亚迪,20,0.0157034742676
比亚迪,21,0.0157034742676
比亚迪,22,0.0157034742676
比亚迪,23,0.0157034742676
永源,1,0.0
永源,2,0.0
永源,3,0.0
永源,4,0.0
永源,5,0.0
永源,6,0.0
永源,7,0.0
永源,8,0.0
永源,9,0.0
永源,10,0.0
江淮,1,0.0
江淮,2,0.0
江淮,3,0.0
江淮,4,0.0
江淮,5,0.0
江淮,6,0.0
江淮,7,0.0
江淮,8,0.0
江淮,9,0.00887160402903
江淮,10,0.0413472397888
江淮,11,0.0413472397888
江淮,12,0.0413472397888
江淮,13,0.0413472397888
江淮,14,0.0413472397888
江淮,15,0.0413472397888
江淮,16,0.0413472397888
江淮,17,0.0413472397888
江淮,18,0.0413472397888
江淮,19,0.0413472397888
江淮,20,0.0413472397888
江铃,1,0.0
江铃,2,0.0
江铃,3,0.0
江铃,4,0.0
江铃,5,0.0
江铃,6,0.0
江铃,7,0.0
江铃,8,0.0
江铃,9,0.0
江铃,10,0.0
江铃,11,0.0
沃尔沃,1,0.0
沃尔沃,2,0.0
沃尔沃,3,0.0
沃尔沃,4,0.0
沃尔沃,5,0.0
沃尔沃,6,0.0
沃尔沃,7,0.0
沃尔沃,8,0.0
沃尔沃,9,0.0
沃尔沃,10,0.0
沃尔沃,11,0.0
沃尔沃,12,0.0
沃尔沃,13,0.0
沃尔沃,14,0.0
海格,1,0.0
海格,2,0.0
海格,3,0.0
海格,4,0.0
海格,5,0.0
海格,6,0.0
海格,7,0.0
海格,8,0.0
海格,9,0.0
海格,10,0.0
海格,11,0.0
海格,12,0.0
海格,13,0.0
海格,14,0.0
海格,15,0.833582887701
海马,1,0.0
海马,2,0.0
海马,3,0.0
海马,4,0.0
海马,5,0.0
海马,6,0.0
海马,7,0.0
海马,8,0.0
海马,9,0.0
海马,10,0.0
海马,11,0.0
海马,12,0.0
海马,13,0.0
海马,14,0.0
海马,15,0.0
海马,16,0.0
海马,17,0.0
海马,18,0.0
海马,19,0.0
海马,20,0.0
潍柴英致,1,0.0
潍柴英致,2,0.0
猎豹,1,0.0
猎豹,2,0.0
猎豹,3,0.0
猎豹,4,0.0
猎豹,5,0.0
猎豹,6,0.0
猎豹,7,0.0
猎豹,8,0.0
猎豹,9,0.0
猎豹,10,0.0
猎豹,11,0.0
猎豹,12,0.0
猎豹,13,0.0
猎豹汽车,1,0.0
猎豹汽车,2,0.0
猎豹汽车,3,0.0
猎豹汽车,4,0.0
猎豹汽车,5,0.0
猎豹汽车,6,0.0546361398098
猎豹汽车,7,0.0546361398098
猎豹汽车,8,0.0546361398098
猎豹汽车,9,0.0546361398098
玛莎拉蒂,1,0.0
玛莎拉蒂,2,0.0
